1936	301	267	272	132	512	1110	914	2600	775	367	271	250
1937	226	207	172	75	198	568	618	1890	1310	552	324	290
1938	182	153	132	132	548	947	1430	1590	1040	892	372	231
1939	177	170	137	76	399	758	1150	1210	1010	810	432	258
1940	181	141	251	159	216	623	1470	1850	1370	684	422	362
1941	212	158	132	62.5	102	588	821	2030	1040	930	883	501
1942	330	212	214	122	232	615	1300	1510	514	492	264	238
1943	185	163	166	82.3	149	359	1390	1620	1300	650	381	204
1944	185	288	176	129	283	1500	1150	1330	1530	917	688	349
1945	232	188	189	161	404	715	1520	2780	1320	506	319	246
1946	184	149	150	130	329	1130	1540	1960	1410	845	634	322
1947	217	168	218	188	418	1100	1620	2010	2060	776	484	260
1948	200	168	274	174	232	927	2290	2000	1240	836	510	325
1949	217	177	163	114	224	1110	1840	1190	698	1190	617	305
1950	256	172	167	82	383	996	1680	1510	2640	1180	552	303
1951	232	200	182	105	266	799	1330	1560	1020	1140	457	419
1952	216	162	194	110	517	763	759	2270	1630	759	349	229
1953	177	162	200	80	318	637	932	735	647	460	321	202
1954	146	118	97.1	79.3	80.1	810	1170	2690	2040	887	453	300
1955	225	162	130	131	129	598	866	1330	773	496	897	379
1956	234	171	132	101	648	697	732	1670	1050	500	369	240
1957	175	138	117	144	98.9	1010	2180	1650	611	589	272	237
1958	165	160	104	79.7	75.6	427	1010	1560	903	546	276	195
1959	146	132	195	143	480	1050	1140	1130	737	645	280	204
1960	175	159	119	101	113	370	1250	893	786	365	209	177
1961	139	142	133	141	206	685	808	2440	1360	1420	775	535
1962	384	306	202	177	276	981	1250	1420	678	564	312	207
1963	170	145	124	88.6	69.4	372	970	850	504	525	558	313
1964	181	167	134	109	286	1060	1460	2170	1200	890	571	304
1965	247	188	147	136	188	1100	1470	1650	819	1760	996	445
1966	296	194	147	121	190	901	2130	1240	1620	1080	533	314
1967	228	198	160	204	336	750	900	1660	846	626	518	336
1968	271	260	231	223	271	1650	2010	1820	2030	1170	714	374
1969	268	202	154	158	246	622	1120	1910	968	424	249	199
1970	177	146	117	157	230	488	1700	1650	1240	656	370	529
1971	330	294	188	166	228	1290	1610	3350	2480	1080	717	425
1972	357	266	208	201	665	1280	718	739	1290	737	563	560
1973	306	217	216	185	199	537	1020	1600	1550	615	486	321
1974	229	182	160	171	518	1420	2140	1850	2030	844	419	281
1975	250	216	146	126	214	982	585	759	703	378	340	205
1976	165	169	133	105	481	720	2250	1480	1130	645	452	265
1977	204	232	155	178	144	453	1370	1520	750	881	426	307
1978	234	170	145	121	405	1700	1130	1130	1280	704	367	254
1979	196	158	124	123	176	868	1680	2280	1860	602	320	235
1980	183	156	108	97.1	293	518	1060	1940	744	515	290	204
1981	190	152	114	112	341	1120	1220	1000	780	504	635	299
1982	210	271	153	167	158	629	679	1210	1040	761	395	286
1983	228	195	411	193	241	1010	493	2240	1450	836	665	340
1984	300	203	141	121	327	1210	1530	860	749	592	286	209
1985	174	151	133	178	398	1410	1880	1330	1630	589	422	277
1986	197	153	128	146	353	764	2050	2260	2060	1550	648	365
1987	255	219	156	138	124	303	963	861	773	675	339	228
1988	164	132	110	115	114	579	954	887	1360	555	274	203
1989	160	146	114	104	151	764	771	442	377	526	244	163
1990	122	114	177	120	456	1710	1200	659	432	543	285	198
1991	143	137	112	106	101	719	1530	1550	997	832	493	301
1992	302	283	206	145	180	449	906	393	312	502	265	178
1993	153	151	125	105	112	446	555	1360	1750	492	322	211
1994	173	126	133	140	238	1900	1160	1440	1710	982	396	368
1995	286	253	178	161	199	831	1360	1680	1300	973	529	379
1996	258	191	202	203	295	579	1360	1750	666	488	515	290
1997	214	254	227	205	251	700	2670	1700	1220	1350	486	324
1998	247	185	162	152	172	779	1901	1390	595	428	354	226
1999	206	141	128	108	253	376	1370	1870	1340	623	1100	420
2000	268	247	257	240	288	852	1880	1770	741	564	317	273
2001	206	181	151	112	355	1730	2020	1500	838	688	842	367
2002	267	238	177 	158	386	1090	1000	2280	702	438	292	258
2003	323	207	171	155	322	1090	1260	783	865	413	282	235
2004	176	170	142	210	334	526	1210	1040	876	403	266	220
2005	204	136	158	146	199	913	1080	981	704	621	366	250
2006	205	154	166	133	299	1067	1220	738	360	996	415	217
2007	217	216	135	129	186	689	1409	1805	1261	588	345	198
2008	213	183	196	174	639	992	1295	1436	736	462	736	321
2009	263	189	173	175	295	615	979	751	315	159	120	139
